Name,Star,Number,AREA,URL
Cafe Tantraloka,4.8,18,Arambol,https://www.google.com/maps/search/Cafe+Tantraloka+Arambol
The Arambol CaféBar - Oziba,5.0,2,Arambol,https://www.google.com/maps/search/The+Arambol+Caf%C3%A9Bar+-+Oziba+Arambol
Maya's Organic Garden,4.5,31,Arambol,https://www.google.com/maps/search/Maya%27s+Organic+Garden+Arambol
Joel: Taste the Palate,5.0,10,Arambol,https://www.google.com/maps/search/Joel%3A+Taste+the+Palate+Arambol
Doing Restaurant &Bar,4.3,3,Arambol,https://www.google.com/maps/search/Doing+Restaurant+%26Bar+Arambol
Eaishwary Bar & Restaurant,4.0,1,Arambol,https://www.google.com/maps/search/Eaishwary+Bar+%26+Restaurant+Arambol
Redmonkeys Bar and Cafe,3.0,1,Arambol,https://www.google.com/maps/search/Redmonkeys+Bar+and+Cafe+Arambol
FlyDining - GOA,4.9,1100,Bambolim Complex,https://www.google.com/maps/search/FlyDining+-+GOA+Bambolim+Complex
Deelsons restaurant n bar,4.1,224,Bambolim Complex,https://www.google.com/maps/search/Deelsons+restaurant+n+bar+Bambolim+Complex
Horisen High-Dining Goa,4.7,96,Bambolim Complex,https://www.google.com/maps/search/Horisen+High-Dining+Goa+Bambolim+Complex
Sand & Sea Bar & Restaurant,4.1,494,Bambolim Complex,https://www.google.com/maps/search/Sand+%26+Sea+Bar+%26+Restaurant+Bambolim+Complex
Niyaaz Restaurant (Bambolim Branch),4.1,2700,Bambolim Complex,https://www.google.com/maps/search/Niyaaz+Restaurant+%28Bambolim+Branch%29+Bambolim+Complex
La Bamba by Bambolim Beach Resort,4.4,39,Bambolim Complex,https://www.google.com/maps/search/La+Bamba+by+Bambolim+Beach+Resort+Bambolim+Complex
