Name,Star,Number,AREA,URL,Score
Mum's Kitchen,4.4,3696,GOA,https://www.google.com/maps/place/Mum%27s+Kitchen/data=!4m7!3m6!1s0x3bbfc0ec02fca9d3:0x4b20a0c64329fdf4!8m2!3d15.4871348!4d73.8128064!16s%2Fg%2F1tdl94tk!19sChIJ06n8AuzAvzsR9P0pQ8agIEs?authuser=0&hl=en&rclk=1,16262.4
Joseph Bar,4.3,3736,GOA,https://www.google.com/maps/place/Joseph+Bar/data=!4m7!3m6!1s0x3bbfc085e9df8595:0xf0f596147184bcf9!8m2!3d15.4983537!4d73.8316523!16s%2Fg%2F11cn__t4pr!19sChIJlYXf6YXAvzsR-byEcRSW9fA?authuser=0&hl=en&rclk=1,16064.8
The Coastal Tawa,4.7,3405,GOA,https://www.google.com/maps/place/The+Coastal+Tawa/data=!4m7!3m6!1s0x3bbfb319894b70e9:0x606389fc1081af9e!8m2!3d15.2687265!4d73.9685541!16s%2Fg%2F11mv__zf4g!19sChIJ6XBLiRmzvzsRnq-BEPyJY2A?authuser=0&hl=en&rclk=1,16003.5
De Candolim Deck Restaurant & Bar,4.2,3607,GOA,https://www.google.com/maps/place/De+Candolim+Deck+Restaurant+%26+Bar/data=!4m7!3m6!1s0x3bbfc197bd251039:0xb25455d444132bb6!8m2!3d15.5133102!4d73.7683203!16s%2Fg%2F11b6jgjv2j!19sChIJORAlvZfBvzsRtisTRNRVVLI?authuser=0&hl=en&rclk=1,15149.4
MAJESTIC BHOJAN,4.2,3524,GOA,https://www.google.com/maps/place/MAJESTIC+BHOJAN/data=!4m7!3m6!1s0x3bbfc0169151c507:0x410a813bf36dfe5!8m2!3d15.5337185!4d73.8224441!16s%2Fg%2F1tfr_j1s!19sChIJB8VRkRbAvzsR5d82vxOoEAQ?authuser=0&hl=en&rclk=1,14800.8
Ritz Classic Mall De Goa,4.2,3454,GOA,https://www.google.com/maps/place/Ritz+Classic+Mall+De+Goa/data=!4m7!3m6!1s0x3bbfc06ce1f55fcb:0xfbf4b39fda891dd!8m2!3d15.525337!4d73.8273565!16s%2Fg%2F11c37zq8y1!19sChIJy1_14WzAvzsR3ZGo_TlLvw8?authuser=0&hl=en&rclk=1,14506.8
Joe's River Cove,4.2,3444,GOA,https://www.google.com/maps/place/Joe%27s+River+Cove/data=!4m7!3m6!1s0x3bbe4cb8ec45b261:0xa374a25e6ae58cef!8m2!3d15.1813243!4d73.9577445!16s%2Fg%2F1263nsyvy!19sChIJYbJF7LhMvjsR74zlal6idKM?authuser=0&hl=en&rclk=1,14464.8
Copperleaf Panaji,4.6,3138,GOA,https://www.google.com/maps/place/Copperleaf+Panaji/data=!4m7!3m6!1s0x3bbfc15cd949a9db:0xc2e4c0481ac167fb!8m2!3d15.4821284!4d73.8200714!16s%2Fg%2F11rfpfp01h!19sChIJ26lJ2VzBvzsR-2fBGkjA5MI?authuser=0&hl=en&rclk=1,14434.8
Charcoal Chicken,4.6,3019,GOA,https://www.google.com/maps/place/Charcoal+Chicken/data=!4m7!3m6!1s0x3bbfc1f7ef285565:0xd01194ea33775a07!8m2!3d15.5265765!4d73.826147!16s%2Fg%2F11p6xs3lhz!19sChIJZVUo7_fBvzsRB1p3M-qUEdA?authuser=0&hl=en&rclk=1,13887.4
Cremeux - Panaji,4.3,3215,GOA,https://www.google.com/maps/place/Cremeux+-+Panaji/data=!4m7!3m6!1s0x3bbfc088a13ed98b:0x5066b04302214c8!8m2!3d15.5005677!4d73.8282737!16s%2Fg%2F11cjvfjknz!19sChIJi9k-oYjAvzsRyBQiMARrBgU?authuser=0&hl=en&rclk=1,13824.5
Hotel Annapurna,3.7,3727,GOA,https://www.google.com/maps/place/Hotel+Annapurna/data=!4m7!3m6!1s0x3bbfc65454cf7065:0xc5e4425d3f200605!8m2!3d15.3969946!4d73.8094099!16s%2Fg%2F1tdqy52s!19sChIJZXDPVFTGvzsRBQYgP11C5MU?authuser=0&hl=en&rclk=1,13789.9
"The Rasoda, Old Goa - Dine In, Takeaway & Mithai Shop",4.3,3071,GOA,"https://www.google.com/maps/place/The+Rasoda,+Old+Goa+-+Dine+In,+Takeaway+%26+Mithai+Shop/data=!4m7!3m6!1s0x3bbf093f8c7eff01:0xd20c1b1a865dc9b7!8m2!3d15.4862355!4d73.9022851!16s%2Fg%2F11gzqc1_zx!19sChIJAf9-jD8JvzsRt8ldhhobDNI?authuser=0&hl=en&rclk=1",13205.3
Joet's Bar & Restaurant,4.1,3198,GOA,https://www.google.com/maps/place/Joet%27s+Bar+%26+Restaurant/data=!4m7!3m6!1s0x3bbfc7fc92cc1989:0x45e27b7e38893d3f!8m2!3d15.3708346!4d73.8325205!16s%2Fg%2F11byxf4_0p!19sChIJiRnMkvzHvzsRPz2JOH574kU?authuser=0&hl=en&rclk=1,13111.8
De Little Goa,4.2,3017,GOA,https://www.google.com/maps/place/De+Little+Goa/data=!4m7!3m6!1s0x3bbfc15d0840a7cd:0xf53d16ccc8b39456!8m2!3d15.543865!4d73.769184!16s%2Fg%2F11f2wpzyv1!19sChIJzadACF3BvzsRVpSzyMwWPfU?authuser=0&hl=en&rclk=1,12671.4
SHARDA BAR AND RESTAURANT,4,3079,GOA,https://www.google.com/maps/place/SHARDA+BAR+AND+RESTAURANT/data=!4m7!3m6!1s0x3bbfb16184303005:0xc08b12494ee44697!8m2!3d15.2903959!4d73.9646414!16s%2Fg%2F1tgcq9v_!19sChIJBTAwhGGxvzsRl0bkTkkSi8A?authuser=0&hl=en&rclk=1,12316
Caravela Cafe And Bistro,4.4,2695,GOA,https://www.google.com/maps/place/Caravela+Cafe+And+Bistro/data=!4m7!3m6!1s0x3bbfc0867340fbdf:0x2a6b40481d994d09!8m2!3d15.4997259!4d73.8316367!16s%2Fg%2F11g6yhs2pd!19sChIJ3_tAc4bAvzsRCU2ZHUhAayo?authuser=0&hl=en&rclk=1,11858
Tato's Fine Dining,3.9,3027,GOA,https://www.google.com/maps/place/Tato%27s+Fine+Dining/data=!4m7!3m6!1s0x3bbfb15935349eeb:0x404e529276592fc7!8m2!3d15.2914848!4d73.9539779!16s%2Fg%2F12jlr6m28!19sChIJ6540NVmxvzsRxy9ZdpJSTkA?authuser=0&hl=en&rclk=1,11805.3
NOVA Kitchen & Bar ( Restaurant),4.9,2409,GOA,https://www.google.com/maps/place/NOVA+Kitchen+%26+Bar+%28+Restaurant%29/data=!4m7!3m6!1s0x3bbfc190461f31c7:0xd75cfc1efdcdac20!8m2!3d15.5041356!4d73.7708769!16s%2Fg%2F11rvbm8d51!19sChIJxzEfRpDBvzsRIKzN_R78XNc?authuser=0&hl=en&rclk=1,11804.1
"Soul Curry, Panjim",4.8,2446,GOA,"https://www.google.com/maps/place/Soul+Curry,+Panjim/data=!4m7!3m6!1s0x3bbfc10a4bdd037d:0x5f84991ae859bd2e!8m2!3d15.4951398!4d73.8197874!16s%2Fg%2F11rz978000!19sChIJfQPdSwrBvzsRLr1Z6BqZhF8?authuser=0&hl=en&rclk=1",11740.8
Sheetal Udupi Pure Veg Restaurant,4.2,2781,GOA,https://www.google.com/maps/place/Sheetal+Udupi+Pure+Veg+Restaurant/data=!4m7!3m6!1s0x3bbfc08c1d95be53:0xbe541c3a557414c5!8m2!3d15.4981282!4d73.8242778!16s%2Fg%2F11f3jwnp58!19sChIJU76VHYzAvzsRxRR0VTocVL4?authuser=0&hl=en&rclk=1,11680.2
Sheetal Pure Veg Restaurant,4,2891,GOA,https://www.google.com/maps/place/Sheetal+Pure+Veg+Restaurant/data=!4m7!3m6!1s0x3bbfc09321db4833:0x289abc8c17620219!8m2!3d15.4897319!4d73.8198904!16s%2Fg%2F124sws5np!19sChIJM0jbIZPAvzsRGQJiF4y8mig?authuser=0&hl=en&rclk=1,11564
Inferno,4.2,2751,GOA,https://www.google.com/maps/place/Inferno/data=!4m7!3m6!1s0x3bbfc193f58edeef:0xfd79a6860a865049!8m2!3d15.5182423!4d73.765368!16s%2Fg%2F11b6hptgmw!19sChIJ796O9ZPBvzsRSVCGCoamef0?authuser=0&hl=en&rclk=1,11554.2
Tuscany Gardens Candolim,4.4,2614,GOA,https://www.google.com/maps/place/Tuscany+Gardens+Candolim/data=!4m7!3m6!1s0x3bbfc19f86e93407:0xf1cac6de70f4105!8m2!3d15.5029052!4d73.7713922!16s%2Fg%2F1q62crt4r!19sChIJBzTphp_BvzsRBUEP522sHA8?authuser=0&hl=en&rclk=1,11501.6
The CasaNova Family Bar & AC Restaurant Palolem Goa,4.7,2429,GOA,https://www.google.com/maps/place/The+CasaNova+Family+Bar+%26+AC+Restaurant+Palolem+Goa/data=!4m7!3m6!1s0x3bbe4538318d7db1:0xd8dfc14713af489d!8m2!3d15.0123071!4d74.0216258!16s%2Fg%2F11tnm46p3b!19sChIJsX2NMThFvjsRnUivE0fB39g?authuser=0&hl=en&rclk=1,11416.3
