Name,Star,Number,AREA,URL,Score,ID
1930 Vasco,4.1,1400,Vasco da Gama,https://www.google.com/maps/search/1930+Vasco+Vasco+da+Gama,5740,20250205191532_121
D LILA veg & nonveg restaurant,3.8,1500,Bicholim,https://www.google.com/maps/search/D+LILA+veg+%26+nonveg+restaurant+Bicholim,5700,20250205191554_122
Hotel Hill Rock Goa,4.3,1300,Arambol,https://www.google.com/maps/search/Hotel+Hill+Rock+Goa+Arambol,5590,20250205191612_123
Cafe Ashwini,4.3,1300,Caranzalem,https://www.google.com/maps/search/Cafe+Ashwini+Caranzalem,5590,20250205191643_124
Kuttikar Bar And Restaurant,4.3,1300,Chorao,https://www.google.com/maps/search/Kuttikar+Bar+And+Restaurant+Chorao,5590,20250205191703_125
Shri Krishna Pure Veg Restaurant,3.9,1400,"Airport, Dabolim",https://www.google.com/maps/search/Shri+Krishna+Pure+Veg+Restaurant+Airport%2C+Dabolim,5460,20250205191742_126
Cremeux - Mapusa,3.9,1400,Mapusa,https://www.google.com/maps/search/Cremeux+-+Mapusa+Mapusa,5460,20250205191800_127
Cafe Bhonsle - Panjim,4.2,1300,Panaji,https://www.google.com/maps/search/Cafe+Bhonsle+-+Panjim+Panaji,5460,20250205191822_128
Vinanti Restaurant & Bar,4.2,1300,Panaji,https://www.google.com/maps/search/Vinanti+Restaurant+%26+Bar+Panaji,5460,20250205191844_129
Colors Restaurant & Bar.,4.2,1300,Saligao,https://www.google.com/maps/search/Colors+Restaurant+%26+Bar.+Saligao,5460,20250205191904_130
Cafe TATO,3.9,1400,Vasco da Gama,https://www.google.com/maps/search/Cafe+TATO+Vasco+da+Gama,5460,20250205191924_131
FlyDining - GOA,4.9,1100,Bambolim Complex,https://www.google.com/maps/search/FlyDining+-+GOA+Bambolim+Complex,5390,20250205191942_132
Bora Bora Life,4.1,1300,Naval Base Verem,https://www.google.com/maps/search/Bora+Bora+Life+Naval+Base+Verem,5330,20250205192002_133
Tilve Bhojanalay,4.1,1300,Tisk (Ponda),https://www.google.com/maps/search/Tilve+Bhojanalay+Tisk+%28Ponda%29,5330,20250205192019_134
Shimons Falafel,4.8,1100,Arambol,https://www.google.com/maps/search/Shimons+Falafel+Arambol,5280,20250205192041_135
NANU RESORT ARAMBOL,4.4,1200,Arambol,https://www.google.com/maps/search/NANU+RESORT+ARAMBOL+Arambol,5280,20250205192100_136
Lemon Chilli,4.8,1100,Chorao,https://www.google.com/maps/search/Lemon+Chilli+Chorao,5280,20250205192134_137
Mahesh Bar And Restaurant,4.4,1200,Tisk (Ponda),https://www.google.com/maps/search/Mahesh+Bar+And+Restaurant+Tisk+%28Ponda%29,5280,20250205192218_138
Biryani Streat Safari,4,1300,"Airport, Dabolim",https://www.google.com/maps/search/Biryani+Streat+Safari+Airport%2C+Dabolim,5200,20250205192236_139
Sheetal Udupi Pure Veg Restaurant,4,1300,Bicholim,https://www.google.com/maps/search/Sheetal+Udupi+Pure+Veg+Restaurant+Bicholim,5200,20250205192256_140
"This is it Beachfront - Rooms, Cafe & Events",4.3,1200,Arambol,https://www.google.com/maps/search/This+is+it+Beachfront+-+Rooms%2C+Cafe+%26+Events+Arambol,5160,20250205192317_141
Café Central,4.5,1100,Caranzalem,https://www.google.com/maps/search/Caf%C3%A9+Central+Caranzalem,4950,20250205192349_142
Hospedaria Venite Restaurant & Bar,4.4,1100,Chorao,https://www.google.com/maps/search/Hospedaria+Venite+Restaurant+%26+Bar+Chorao,4840,20250205192410_143
Sweet Nation,4.4,1100,Panaji,https://www.google.com/maps/search/Sweet+Nation+Panaji,4840,20250205192633_144
Tulsi Cafe,4,1200,Mapusa,https://www.google.com/maps/search/Tulsi+Cafe+Mapusa,4800,20250205192654_145
Café Bhonsle,4,1200,Tisk (Ponda),https://www.google.com/maps/search/Caf%C3%A9+Bhonsle+Tisk+%28Ponda%29,4800,20250205192716_146
Prime Rose Goa,4.3,1100,Saligao,https://www.google.com/maps/search/Prime+Rose+Goa+Saligao,4730,20250205192735_147
"Pizza Hut | Vasco Da Gama, Goa",4.7,1000,Vasco da Gama,https://www.google.com/maps/search/Pizza+Hut+%7C+Vasco+Da+Gama%2C+Goa+Vasco+da+Gama,4700,20250205192754_148
Heart Beat Family Multi Cuisine Restaurant,3.9,1200,Mapusa,https://www.google.com/maps/search/Heart+Beat+Family+Multi+Cuisine+Restaurant+Mapusa,4680,20250205192812_149
"Pan Aroma Restaurant | Best Restaurant in Ponda, Goa",3.9,1200,Tisk (Ponda),https://www.google.com/maps/search/Pan+Aroma+Restaurant+%7C+Best+Restaurant+in+Ponda%2C+Goa+Tisk+%28Ponda%29,4680,20250205192832_150
Arambol Mountain,4.6,1000,Arambol,https://www.google.com/maps/search/Arambol+Mountain+Arambol,4600,20250205192851_151
Sagar View Restaurant,3.8,1200,Caranzalem,https://www.google.com/maps/search/Sagar+View+Restaurant+Caranzalem,4560,20250205192907_152
Appetite Classic,3.8,1200,Mapusa,https://www.google.com/maps/search/Appetite+Classic+Mapusa,4560,20250205192925_153
New Walke Food Station,3.5,1300,Mapusa,https://www.google.com/maps/search/New+Walke+Food+Station+Mapusa,4550,20250205192942_154
George Restaurant & Bar,4.1,1100,Panaji,https://www.google.com/maps/search/George+Restaurant+%26+Bar+Panaji,4510,20250205193003_155
Legacy of Bombay pure veg restaurant,4.1,1100,Panaji,https://www.google.com/maps/search/Legacy+of+Bombay+pure+veg+restaurant+Panaji,4510,20250205193021_156
"Miri | Global Fusion Dining | Miramar, Panjim",4.6,962,Caranzalem,https://www.google.com/maps/search/Miri+%7C+Global+Fusion+Dining+%7C+Miramar%2C+Panjim+Caranzalem,4425.2,20250205193039_157
Buddha Tasty Family Bar & Restaurant & Hotel Arambol,4.6,961,Arambol,https://www.google.com/maps/search/Buddha+Tasty+Family+Bar+%26+Restaurant+%26+Hotel+Arambol+Arambol,4420.6,20250205193058_158
Amboli Spice Fly Restaurant & Bar,4,1100,Panaji,https://www.google.com/maps/search/Amboli+Spice+Fly+Restaurant+%26+Bar+Panaji,4400,20250205193131_159
