URL,Name,Star,Number,AREA,Score,ID
https://www.google.com/maps/place/Kailash+Parbat-+Pure+Vegetarian+Restaurant/data=!4m7!3m6!1s0x3bbfc08e645c34e5:0x453d79ad03658d4b!8m2!3d15.4978396!4d73.8259661!16s%2Fg%2F1tdsh6rm!19sChIJ5TRcZI7AvzsRS41lA615PUU?authuser=0&hl=en&rclk=1,Kailash Parbat- Pure Vegetarian Restaurant,4.6,4453,Taleigao,20483.8,64d04090b1f0e697e2a642b027d5e1eb
https://www.google.com/maps/place/Ritz+Classic+Margao/data=!4m7!3m6!1s0x3bbfb3bdd4759361:0x5042c83d8d62b1f2!8m2!3d15.264811!4d73.9504342!16s%2Fg%2F11ny03r24j!19sChIJYZN11L2zvzsR8rFijT3IQlA?authuser=0&hl=en&rclk=1,Ritz Classic Margao,4.4,4646,Varca,20442.4,fe6887762b5acbd4f8d82b39898ce40f
https://www.google.com/maps/place/Starlight/data=!4m7!3m6!1s0x3bbe4cc6c78ba1dd:0x8b8ff44b279e2ba5!8m2!3d15.1806945!4d73.9638661!16s%2Fg%2F1262c8tvm!19sChIJ3aGLx8ZMvjsRpSueJ0v0j4s?authuser=0&hl=en&rclk=1,Starlight,4.2,4633,Carmona,19458.6,c8f31832b03b6b04af5b8d8f9f929d1e
https://www.google.com/maps/place/Sea+Shells+by+James/data=!4m7!3m6!1s0x3bbfb8bfc0000001:0x3b316dd2246780a4!8m2!3d15.4415412!4d73.8602894!16s%2Fg%2F11fzyz774r!19sChIJAQAAwL-4vzsRpIBnJNJtMTs?authuser=0&hl=en&rclk=1,Sea Shells by James,4.1,4658,Bambolim Camp,19097.8,85b3676557f3c588c4c26cfe42711a4d
https://www.google.com/maps/place/Spicy+Family+Restaurant+%26+Bar/data=!4m7!3m6!1s0x3bbfb3c1805507bb:0x4174fd00531c2a5a!8m2!3d15.2705605!4d73.9622142!16s%2Fg%2F11c45ltjl8!19sChIJuwdVgMGzvzsRWiocUwD9dEE?authuser=0&hl=en&rclk=1,Spicy Family Restaurant & Bar,4.2,4546,Aquem,19093.2,20250205231309_49
https://www.google.com/maps/place/Viva+Panjim/data=!4m7!3m6!1s0x3bbfc0859d9b0959:0x3f3da3adedbc0e99!8m2!3d15.4964927!4d73.831189!16s%2Fg%2F1tmpccwl!19sChIJWQmbnYXAvzsRmQ687a2jPT8?authuser=0&hl=en&rclk=1,Viva Panjim,4.3,4389,Corlim Ind. Estate,18872.7,20250205231325_50
https://www.google.com/maps/place/La+Cabana+Beach+%26+Spa/data=!4m10!3m9!1s0x3bbfeec8c9230e3f:0x9f2ddb1c1db5d407!5m2!4m1!1i2!8m2!3d15.6428474!4d73.7203813!16s%2Fg%2F11xk1dpvy!19sChIJPw4jycjuvzsRB9S1HRzbLZ8?authuser=0&hl=en&rclk=1,La Cabana Beach & Spa,4.3,4366,Mandrem,18773.8,20250205231343_51
https://www.google.com/maps/place/The+Lazy+Goose/data=!4m7!3m6!1s0x3bbfc1a5038c73eb:0x77aaefc15cce98f8!8m2!3d15.5101664!4d73.7803832!16s%2Fg%2F11fzf64n02!19sChIJ63OMA6XBvzsR-JjOXMHvqnc?authuser=0&hl=en&rclk=1,The Lazy Goose,4.4,4247,Corlim Ind. Estate,18686.8,4f322539a1fedb5418828bf69c5342e3
https://www.google.com/maps/place/Sheela+Restaurant+%26+Bar/data=!4m7!3m6!1s0x3bbfb869d90c3799:0xfcaf4ddfb312bb40!8m2!3d15.4015133!4d73.8655167!16s%2Fg%2F12613xrk2!19sChIJmTcM2Wm4vzsRQLsSs99Nr_w?authuser=0&hl=en&rclk=1,Sheela Restaurant & Bar,4.0,4664,Bogmalo,18656.0,fc09944b34d2089dda8bfe738e90a34c
https://www.google.com/maps/place/Cafe+Cotinga/data=!4m7!3m6!1s0x3bbfe987716c0cc9:0x63e416ccaea4bd78!8m2!3d15.5886909!4d73.7647869!16s%2Fg%2F12lkc41rf!19sChIJyQxscYfpvzsReL2krswW5GM?authuser=0&hl=en&rclk=1,Cafe Cotinga,4.5,4124,Tivim,18558.0,5a82b22512c7b38e3533f3616b63b250
